date,equity
2021-08-27,17439.25
2021-08-30,17656.72
2021-08-31,17568.16
2021-09-01,17604.15
2021-09-02,17578.800000000003
2021-09-03,17673.23
2021-09-07,17687.11
2021-09-08,17575.97
2021-09-09,17475.19
2021-09-10,17400.850000000002
2021-09-13,17363.219999999998
2021-09-14,17363.84
2021-09-15,17445.31
2021-09-16,17407.93
2021-09-17,17158.63
2021-09-20,16770.17
2021-09-21,16771.09
2021-09-22,16920.1
2021-09-23,17017.27
2021-09-24,16995.129999999997
2021-09-27,17020.08
2021-09-28,16740.34
2021-09-29,16743.239999999998
2021-09-30,16675.559999999998
2021-10-01,16726.36
2021-10-04,16744.66
2021-10-05,16767.21
2021-10-06,16779.809999999998
2021-10-07,16832.059999999998
2021-10-08,16806.91
2021-10-11,16774.71
2021-10-12,16801.41
2021-10-13,16753.91
2021-10-14,16815.059999999998
2021-10-15,16944.559999999998
2021-10-18,17041.1
2021-10-19,17075.32
2021-10-20,17063.479999999996
2021-10-21,17165.18
2021-10-22,17198.659999999996
2021-10-25,17677.64
2021-10-26,17908.309999999998
2021-10-27,17820.22
2021-10-28,18057.75
2021-10-29,18237.339999999997
2021-11-01,18444.17
2021-11-02,18470.989999999994
2021-11-03,18733.779999999995
2021-11-04,19244.42
2021-11-05,19301.929999999997
2021-11-08,19219.689999999995
2021-11-09,18777.399999999998
2021-11-10,18620.339999999997
2021-11-11,18734.389999999996
2021-11-12,18750.759999999995
2021-11-15,18663.269999999997
2021-11-16,18808.94
2021-11-17,18835.179999999997
2021-11-18,19378.76
2021-11-19,19650.11
2021-11-22,19408.469999999998
2021-11-23,19238.07
2021-11-24,19398.85
2021-11-26,18893.709999999995
2021-11-29,19482.739999999998
2021-11-30,19426.67
2021-12-01,19069.21
2021-12-02,19078.0
2021-12-03,18621.87
2021-12-06,18378.29
2021-12-07,18610.769999999997
2021-12-08,18671.97
2021-12-09,18636.61
2021-12-10,18966.129999999997
2021-12-13,18849.35
2021-12-14,18789.97
2021-12-15,19004.43
2021-12-16,18769.36
2021-12-17,18788.329999999998
2021-12-20,18772.489999999998
2021-12-21,18923.129999999997
2021-12-22,19049.37
2021-12-23,19091.47
2021-12-27,19264.68
2021-12-28,19222.9
2021-12-29,19221.5
2021-12-30,19162.3
2021-12-31,19066.1
2022-01-03,19352.07
2022-01-04,19227.73
2022-01-05,18672.88
2022-01-06,18596.079999999998
2022-01-07,18369.35
2022-01-10,18134.97
2022-01-11,18229.78
2022-01-12,18358.28
2022-01-13,18081.63
2022-01-14,17946.71
2022-01-18,17650.399999999998
2022-01-19,17523.809999999998
2022-01-20,17473.309999999998
2022-01-21,17362.91
2022-01-24,17336.51
2022-01-25,17336.51
2022-01-26,17336.51
2022-01-27,17336.51
2022-01-28,17349.489999999998
2022-01-31,17329.359999999997
2022-02-01,17397.449999999997
2022-02-02,17431.109999999997
2022-02-03,17388.429999999997
2022-02-04,17353.78
2022-02-07,17340.249999999996
2022-02-08,17348.829999999998
2022-02-09,17381.059999999998
2022-02-10,17322.98
2022-02-11,17313.079999999998
2022-02-14,17320.23
2022-02-15,17347.51
2022-02-16,17358.51
2022-02-17,17312.199999999997
2022-02-18,17291.079999999998
2022-02-22,17276.01
2022-02-23,17216.94
2022-02-24,17078.229999999996
2022-02-25,17078.229999999996
2022-02-28,17078.229999999996
2022-03-01,17078.229999999996
2022-03-02,17078.229999999996
2022-03-03,17078.229999999996
2022-03-04,17091.729999999996
2022-03-07,17070.669999999995
2022-03-08,17018.289999999994
2022-03-09,17031.249999999996
2022-03-10,17087.949999999997
2022-03-11,17078.229999999996
2022-03-14,17113.869999999995
2022-03-15,17144.649999999994
2022-03-16,17137.089999999997
2022-03-17,17131.149999999994
2022-03-18,17148.789999999994
2022-03-21,17088.969999999994
2022-03-22,17122.869999999995
2022-03-23,17039.949999999997
2022-03-24,17177.829999999994
2022-03-25,17201.469999999994
2022-03-28,17273.259999999995
2022-03-29,17431.269999999993
2022-03-30,17378.979999999996
2022-03-31,17280.179999999993
2022-04-01,17376.569999999996
2022-04-04,17476.229999999996
2022-04-05,17335.439999999995
2022-04-06,17197.199999999993
2022-04-07,17186.139999999992
2022-04-08,17096.929999999993
2022-04-11,16908.899999999994
2022-04-12,16852.069999999992
2022-04-13,17014.77999999999
2022-04-14,16894.179999999993
2022-04-18,16876.759999999995
2022-04-19,16936.449999999993
2022-04-20,16995.079999999994
2022-04-21,16984.659999999993
2022-04-22,16839.579999999994
2022-04-25,16820.309999999994
2022-04-26,16791.149999999994
2022-04-27,16771.709999999992
2022-04-28,16807.34999999999
2022-04-29,16749.569999999992
2022-05-02,16731.209999999992
2022-05-03,16740.929999999993
2022-05-04,16778.729999999992
2022-05-05,16744.709999999992
2022-05-06,16699.889999999992
2022-05-09,16699.889999999992
2022-05-10,16699.889999999992
2022-05-11,16699.889999999992
2022-05-12,16699.889999999992
2022-05-13,16699.889999999992
2022-05-16,16699.889999999992
2022-05-17,16699.889999999992
2022-05-18,16699.889999999992
2022-05-19,16699.889999999992
2022-05-20,16699.889999999992
2022-05-23,16699.889999999992
2022-05-24,16699.889999999992
2022-05-25,16699.889999999992
2022-05-26,16699.889999999992
2022-05-27,16699.889999999992
2022-05-31,16699.889999999992
2022-06-01,16699.889999999992
2022-06-02,16702.30999999999
2022-06-03,16675.909999999993
2022-06-06,16679.09999999999
2022-06-07,16696.25999999999
2022-06-08,16685.25999999999
2022-06-09,16603.96999999999
2022-06-10,16531.36999999999
2022-06-13,16459.319999999992
2022-06-14,16459.319999999992
2022-06-15,16459.319999999992
2022-06-16,16459.319999999992
2022-06-17,16459.319999999992
2022-06-21,16459.319999999992
2022-06-22,16459.319999999992
2022-06-23,16459.319999999992
2022-06-24,16459.319999999992
2022-06-27,16459.319999999992
2022-06-28,16459.319999999992
2022-06-29,16459.319999999992
2022-06-30,16459.319999999992
2022-07-01,16459.319999999992
2022-07-05,16459.319999999992
2022-07-06,16459.319999999992
2022-07-07,16462.71999999999
2022-07-08,16474.11999999999
2022-07-11,16400.719999999994
2022-07-12,16314.699999999992
2022-07-13,16248.009999999991
2022-07-14,16295.449999999992
2022-07-15,16396.27999999999
2022-07-18,16260.54999999999
2022-07-19,16536.39999999999
2022-07-20,16825.08999999999
2022-07-21,16974.26999999999
2022-07-22,16455.459999999992
2022-07-25,16330.809999999992
2022-07-26,15952.24999999999
2022-07-27,16462.659999999993
2022-07-28,16417.089999999993
2022-07-29,16981.209999999992
2022-08-01,16978.61999999999
2022-08-02,16874.10999999999
2022-08-03,17302.39999999999
2022-08-04,17477.909999999993
2022-08-05,17255.789999999994
2022-08-08,17016.73999999999
2022-08-09,16803.799999999992
2022-08-10,17320.099999999995
2022-08-11,17154.199999999993
2022-08-12,17564.11999999999
2022-08-15,17771.189999999995
2022-08-16,17763.289999999994
2022-08-17,17581.659999999993
2022-08-18,17636.30999999999
2022-08-19,17244.949999999993
2022-08-22,16753.569999999992
2022-08-23,16794.35999999999
2022-08-24,16813.609999999993
2022-08-25,17101.27999999999
2022-08-26,16476.46999999999
2022-08-29,16414.46999999999
2022-08-30,16341.98999999999
2022-08-31,16341.98999999999
2022-09-01,16341.98999999999
2022-09-02,16341.98999999999
2022-09-06,16341.98999999999
2022-09-07,16341.98999999999
2022-09-08,16341.98999999999
2022-09-09,16341.98999999999
2022-09-12,16341.98999999999
2022-09-13,16341.98999999999
2022-09-14,16341.98999999999
2022-09-15,16341.98999999999
2022-09-16,16341.98999999999
2022-09-19,16341.429999999991
2022-09-20,16339.049999999992
2022-09-21,16283.539999999992
2022-09-22,16198.06999999999
2022-09-23,16105.24999999999
2022-09-26,16110.009999999991
2022-09-27,16158.519999999991
2022-09-28,16192.609999999991
2022-09-29,16055.40999999999
2022-09-30,16037.909999999993
2022-10-03,16037.909999999993
2022-10-04,16037.909999999993
2022-10-05,16037.909999999993
2022-10-06,16037.909999999993
2022-10-07,16037.909999999993
2022-10-10,16037.909999999993
2022-10-11,16037.909999999993
2022-10-12,16037.909999999993
2022-10-13,16037.909999999993
2022-10-14,16037.909999999993
2022-10-17,16037.909999999993
2022-10-18,16021.109999999993
2022-10-19,15974.509999999993
2022-10-20,15945.709999999992
2022-10-21,16115.40999999999
2022-10-24,16164.519999999991
2022-10-25,16182.57999999999
2022-10-26,16229.85999999999
2022-10-27,16232.23999999999
2022-10-28,16341.409999999993
2022-10-31,16298.229999999992
2022-11-01,16292.149999999992
2022-11-02,16167.819999999992
2022-11-03,16079.639999999992
2022-11-04,16132.459999999994
2022-11-07,16203.989999999993
2022-11-08,16273.849999999993
2022-11-09,15909.789999999992
2022-11-10,16791.519999999993
2022-11-11,17021.049999999992
2022-11-14,16846.149999999994
2022-11-15,17153.649999999994
2022-11-16,16946.869999999995
2022-11-17,16911.07999999999
2022-11-18,16965.989999999994
2022-11-21,16904.039999999994
2022-11-22,17202.969999999994
2022-11-23,17372.109999999993
2022-11-25,17282.749999999993
2022-11-28,17033.169999999995
2022-11-29,16981.889999999992
2022-11-30,17546.669999999995
2022-12-01,17562.879999999994
2022-12-02,17434.36999999999
2022-12-05,17172.75999999999
2022-12-06,16926.749999999993
2022-12-07,16863.069999999996
2022-12-08,17169.419999999995
2022-12-09,17108.229999999992
2022-12-12,17416.659999999993
2022-12-13,17598.909999999993
2022-12-14,17471.27999999999
2022-12-15,17064.82999999999
2022-12-16,16990.109999999993
2022-12-19,16904.52999999999
2022-12-20,16849.48999999999
2022-12-21,17004.77999999999
2022-12-22,16793.58999999999
2022-12-23,16790.08999999999
2022-12-27,16795.58999999999
2022-12-28,16752.58999999999
2022-12-29,16817.08999999999
2022-12-30,16823.58999999999
2023-01-03,16796.389999999992
2023-01-04,16869.16999999999
2023-01-05,16816.02999999999
2023-01-06,17091.249999999993
2023-01-09,16996.97999999999
2023-01-10,17106.90999999999
2023-01-11,17150.55999999999
2023-01-12,17216.21999999999
2023-01-13,17338.41999999999
2023-01-17,17264.90999999999
2023-01-18,17015.509999999987
2023-01-19,16863.12999999999
2023-01-20,17266.619999999988
2023-01-23,17644.77999999999
2023-01-24,17657.94999999999
2023-01-25,17681.62999999999
2023-01-26,18000.079999999987
2023-01-27,18294.47999999999
2023-01-30,17881.98999999999
2023-01-31,18088.539999999986
2023-02-01,18522.08999999999
2023-02-02,19540.639999999992
2023-02-03,19161.399999999994
2023-02-06,19144.899999999994
2023-02-07,19533.01999999999
2023-02-08,19227.119999999988
2023-02-09,19028.41999999999
2023-02-10,18734.219999999987
2023-02-13,19052.499999999993
2023-02-14,19256.429999999993
2023-02-15,19249.329999999994
2023-02-16,18857.79999999999
2023-02-17,18709.09999999999
2023-02-21,18366.389999999992
2023-02-22,18335.19999999999
2023-02-23,18801.34999999999
2023-02-24,18675.579999999987
2023-02-27,18712.009999999987
2023-02-28,18799.709999999992
2023-03-01,18677.429999999986
2023-03-02,18763.87999999999
2023-03-03,19111.31999999999
2023-03-06,19038.53999999999
2023-03-07,18916.399999999987
2023-03-08,19036.24999999999
2023-03-09,18860.389999999992
2023-03-10,18746.759999999987
2023-03-13,18774.55999999999
2023-03-14,19199.369999999988
2023-03-15,19299.29999999999
2023-03-16,19768.17999999999
2023-03-17,19680.08999999999
2023-03-20,19665.81999999999
2023-03-21,19920.31999999999
2023-03-22,19786.41999999999
2023-03-23,20101.759999999987
2023-03-24,20082.90999999999
2023-03-27,19872.119999999988
2023-03-28,19722.89999999999
2023-03-29,20064.98999999999
2023-03-30,20276.279999999988
2023-03-31,20617.319999999992
2023-04-03,20674.619999999988
2023-04-04,20655.98999999999
2023-04-05,20438.98999999999
2023-04-06,20794.15999999999
2023-04-10,20764.989999999987
2023-04-11,20513.98999999999
2023-04-12,20327.439999999988
2023-04-13,20728.569999999992
2023-04-14,20782.599999999988
2023-04-17,20736.97999999999
2023-04-18,20764.649999999987
2023-04-19,20812.25999999999
2023-04-20,20650.72999999999
2023-04-21,20757.81999999999
2023-04-24,20719.90999999999
2023-04-25,20240.16999999999
2023-04-26,20635.91999999999
2023-04-27,21616.90999999999
2023-04-28,21611.08999999999
2023-05-01,21734.69999999999
2023-05-02,21532.57999999999
2023-05-03,21409.03999999999
